image,text
data/raw/Synthetic raw images/urdu_1.png,پاکستان زندہ باد
data/raw/Synthetic raw images/urdu_2.png,آج کا موسم خوشگوار ہے
data/raw/Synthetic raw images/urdu_3.png,تعلیم ہر انسان کا حق ہے
data/raw/Synthetic raw images/urdu_4.png,کراچی پاکستان کا سب سے بڑا شہر ہے
data/raw/Synthetic raw images/urdu_5.png,محنت کامیابی کی کنجی ہے
data/raw/Synthetic raw images/urdu_6.png,کتاب علم کا خزانہ ہے
data/raw/Synthetic raw images/urdu_7.png,وقت کی قدر کرنی چاہیے
data/raw/Synthetic raw images/urdu_8.png,صحت ہزار نعمت ہے
data/raw/Synthetic raw images/urdu_9.png,پانی زندگی کے لیے ضروری ہے
data/raw/Synthetic raw images/urdu_10.png,سچائی ہمیشہ کامیاب ہوتی ہے
data/raw/Synthetic raw images/urdu_11.png,لاہور ایک تاریخی شہر ہے
data/raw/Synthetic raw images/urdu_12.png,بچوں کو اچھی تربیت دینی چاہیے
data/raw/Synthetic raw images/urdu_13.png,دوستی ایک قیمتی رشتہ ہے
data/raw/Synthetic raw images/urdu_14.png,صبر کا پھل میٹھا ہوتا ہے
data/raw/Synthetic raw images/urdu_15.png,اردو ایک خوبصورت زبان ہے
data/raw/Synthetic raw images/urdu_16.png,درخت لگانا ضروری ہے
data/raw/Synthetic raw images/urdu_17.png,والدین کی عزت کرنی چاہیے
data/raw/Synthetic raw images/urdu_18.png,علم حاصل کرنے کی کوئی عمر نہیں ہوتی
data/raw/Synthetic raw images/urdu_19.png,ایمانداری بہترین پالیسی ہے
data/raw/Synthetic raw images/urdu_20.png,پاکستان کا موسم بہت متنوع ہے
data/raw/Synthetic raw images/urdu_naskh_1.png,دریا کنارے خوبصورت منظر تھا
data/raw/Synthetic raw images/urdu_naskh_2.png,بچے پارک میں کھیل رہے ہیں
data/raw/Synthetic raw images/urdu_naskh_3.png,استاد نے سبق اچھی طرح سمجھایا
data/raw/Synthetic raw images/urdu_naskh_4.png,بازار میں بہت رش تھا
data/raw/Synthetic raw images/urdu_naskh_5.png,میں نے کتاب پڑھ کر رکھ دی
data/raw/Synthetic raw images/urdu_naskh_6.png,چاند رات کو بہت روشن تھا
data/raw/Synthetic raw images/urdu_naskh_7.png,کسان کھیت میں کام کر رہا تھا
data/raw/Synthetic raw images/urdu_naskh_8.png,دوست نے مجھے تحفہ دیا
data/raw/Synthetic raw images/urdu_naskh_9.png,بارش کے بعد ہوا خوشگوار ہو گئی
data/raw/Synthetic raw images/urdu_naskh_10.png,ماں نے کھانا بنایا
data/raw/Synthetic raw images/urdu_naskh_11.png,طالب علم امتحان کی تیاری کر رہا ہے
data/raw/Synthetic raw images/urdu_naskh_12.png,پرندے صبح سویرے چہچہاتے ہیں
data/raw/Synthetic raw images/urdu_naskh_13.png,شہر کی سڑکیں کشادہ ہیں
data/raw/Synthetic raw images/urdu_naskh_14.png,پہاڑوں پر برف پڑی ہوئی تھی
data/raw/Synthetic raw images/urdu_naskh_15.png,دکاندار نے سامان تول کر دیا
data/raw/Synthetic raw images/urdu_naskh_16.png,علم انسان کی سب سے بڑی طاقت ہے
data/raw/Synthetic raw images/urdu_naskh_17.png,محنت کبھی رائیگاں نہیں جاتی
data/raw/Synthetic raw images/urdu_naskh_18.png,صحت مند جسم میں صحت مند دماغ ہوتا ہے
data/raw/Synthetic raw images/urdu_naskh_19.png,پاکستان کے شمالی علاقے بہت خوبصورت ہیں
data/raw/Synthetic raw images/urdu_naskh_20.png,کتاب انسان کی بہترین دوست ہے
data/raw/Synthetic raw images/urdu_naskh_21.png,زندگی میں صبر بہت ضروری ہے
data/raw/Handwritten/handwritten_1.jpeg,میرے کپڑے استری کردو
data/raw/Handwritten/handwritten_2.jpeg,مجھے کھیلنا پسند ہے
data/raw/Handwritten/handwritten_3.jpeg,ٹماٹر، پیاز
data/raw/Handwritten/handwritten_4.jpeg,میں کھانا گرم کرکے آتی ہوں
data/raw/Handwritten/handwritten_5.jpeg,میں ایک مجبور لڑکی ہوں
data/raw/Handwritten/handwritten_6.jpeg,میں کام کرنا جانتی ہوں
data/raw/Handwritten/handwritten_7.jpeg,میں ایک سندر لڑکی ہوں
data/raw/Handwritten/handwritten_8.jpeg,سیب کا ڈالیہ دے دو
data/raw/Handwritten/handwritten_9.jpeg,مجھے کھانا پکانے کا شوق ہے
data/raw/Handwritten/handwritten_10.jpeg,میں بہت سمجھدار لڑکی ہوں
data/raw/Handwritten/handwritten_11.jpeg,کھانا
data/raw/Handwritten/handwritten_12.jpeg,آلو
data/raw/Handwritten/handwritten_13.jpeg,میں ایک خوبصورت لڑکی ہوں
data/raw/Handwritten/handwritten_14.jpeg,میرا نام آمنہ ہے
data/raw/Handwritten/handwritten_15.jpeg,میں گانا گانا جانتی ہوں
data/raw/Newspaper/Screenshot 2026-07-21 183748.png,خواہش!
data/raw/Newspaper/Screenshot 2026-07-21 184136.png,تازہ ترین خبروں، تجزیے اور تبصرے کے لیے یہاں کلک کیجیے
data/raw/Newspaper/Screenshot 2026-07-21 184154.png,ٹی ایل پی سربراہ سعد رضوی اور ان کے بھائی کی گمشدگی کا معمہ برقرار
data/raw/Newspaper/Screenshot 2026-07-21 184212.png,ایران نے مذاکرات کے لیے رابطہ کیا ہے مگر اس سے پہلے کارروائی بھی ہوسکتی ہے، ٹرمپ
data/raw/Newspaper/Screenshot 2026-07-21 184222.png,ملک میں شدید سردی کی افواہوں کی تردید
data/raw/Newspaper/Screenshot 2026-07-21 184703.png,ہر دفعہ پتھر کو لوگ دل سمجھ لیتے ہیں، عمریں بیت جاتی ہیں دل کو دل بنانے میں
data/raw/Newspaper/Screenshot 2026-07-21 184759.png,کچھ تعلقات ختم کرنے ہی کو پڑتے ہیں
data/raw/Newspaper/Screenshot 2026-07-21 184814.png,اس وقت پاکستان بہت سے ملکی اور بین الاقوامی مسائل میں گھرا ہوا ہے
data/raw/Newspaper/Screenshot 2026-07-21 184838.png,علم بڑی دولت ہے، ہم اسے حاصل کرنے کے لیے صرف محنت کرتے ہیں
data/raw/Newspaper/Screenshot 2026-07-21 184851.png,پاکستان بنیادی طور پر ایک زرعی ملک ہے
data/raw/Newspaper/Screenshot 2026-07-21 184947.png,وقت کی پابندی
data/raw/Newspaper/Screenshot 2026-07-21 185017.png,ہر لذت کی انتہا بیزاری ہے
data/raw/Newspaper/Screenshot 2026-07-21 185028.png,اختلاف کے باوجود احترام سے پیش آنا کمزوری نہیں
data/raw/Newspaper/Screenshot 2026-07-21 185046.png,راز، تم مرد ہو کر عورت کو بدنام کرتے ہو
data/raw/Newspaper/Screenshot 2026-07-21 185057.png,انسان مکان بدلتا ہے رشتے بدلتا ہے
data/raw/Newspaper/Screenshot 2026-07-21 185144.png,غلطیاں بھی ہوں گی، غلط بھی سمجھا جانے گا یہ زندگی ہے
data/raw/Newspaper/Screenshot 2026-07-21 185221.png,درخت، مشکل، یونٹ، جب تک، معمول
data/raw/Newspaper/Screenshot 2026-07-21 185235.png,ہجر
data/raw/Newspaper/Screenshot 2026-07-21 185309.png,چاہت
data/raw/Newspaper/WhatsApp Image 2026-07-21 at 18.34.40.jpeg,بارش کی تباہ کاریاں، 16 افراد پانی میں بہہ گئے
data/raw/Newspaper/0.png,پشاور،بنوں (نمائندہ جنگ،اے ایف پی) بنوں میں اقوام میراخیل اور
data/raw/Newspaper/1.png,اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس
data/raw/Newspaper/9.png,میں اقوام میراخیل اور اسکے ساتھ ملحقہ علاقے کے عوام
data/raw/Newspaper/10.png,نے بجلی وگیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے
data/raw/Newspaper/17.png,ملانے والی مرکزی شاہراہ پر کرفیو نافذ کردیا گیا ہے۔بنوں
data/raw/Newspaper/100.png,نہیں آ یا۔ آخریہ کونسا مذہب ہے؟کیا اسلام کے نام
data/raw/Newspaper/1000.png,ضرور ہے۔ انہوں نے کہا کہ میرا احمدیوں سے کوئی
data/raw/Newspaper/1001.png,تعلق نہیں، انہوں نے کہا کہ پولیس کو اپنی کارکردگی
data/raw/Newspaper/6651.png,میں کُل جماعتی کشمیر رابطہ کمیٹی کے زیر اہتمام ہونے
data/raw/Newspaper/6652.png,والے کشمیر سیمینار کے ساتھ بھر پو تعاون کا فیصلہ
data/raw/Newspaper/6653.png,کیا گیا۔ چوہدری ظفر اقبال نے کہا لبریشن لیگ کے
data/raw/Newspaper/6654.png,سربراہ کے ایچ خورشید مرحوم نے آج سے نصف صدی
data/raw/Newspaper/6655.png,پہلے کشمیریوں اور پاکستانیوں کو جو تجاویز دیں وہ اگر
data/raw/Newspaper/6656.png,اپنائی جاتیں تو یہ مسئلہ کب کا حل ہوجاتا۔ محمد
data/raw/Newspaper/6657.png,ایاز نے خطاب کرتے ہوئے کہا کہ آزاد کشمیر میں
